step,run_id,true_count,est_count
5000,0,4883,4905.17
10000,0,9716,9749.93
15000,0,14529,14565.2
20000,0,19332,19386.8
25000,0,24134,24224.7
30000,0,28936,28887
35000,0,33739,33658.8
40000,0,38495,38032.4
45000,0,43270,43819.2
50000,0,48038,47936.6
55000,0,52828,52535.1
60000,0,57603,57129.4
65000,0,62392,61578.3
70000,0,67149,66205.5
75000,0,71874,70852
80000,0,76621,75245.8
85000,0,81342,79733.2
90000,0,86067,84175.9
95000,0,90786,88354.6
100000,0,95528,92951.7
5000,1,4886,4897.08
10000,1,9712,9775.34
15000,1,14527,14446.4
20000,1,19348,19328.1
25000,1,24148,24167.8
30000,1,28943,29151.5
35000,1,33742,34029.6
40000,1,38518,38772.3
45000,1,43298,44239.4
50000,1,48079,48545.8
55000,1,52850,53243.4
60000,1,57619,57596.8
65000,1,62410,62551.2
70000,1,67170,67116.4
75000,1,71938,71259.5
80000,1,76682,75472.2
85000,1,81412,79941.1
90000,1,86138,84541.1
95000,1,90873,89101.7
100000,1,95617,93238.5
5000,2,4904,4894.38
10000,2,9731,9646.91
15000,2,14545,14403
20000,2,19360,19247
25000,2,24154,23985.2
30000,2,28963,28598
35000,2,33746,33666.6
40000,2,38547,38299.5
45000,2,43304,43844
50000,2,48095,48351.1
55000,2,52870,52897
60000,2,57636,57324.4
65000,2,62381,62017.8
70000,2,67144,66566.2
75000,2,71905,71164.5
80000,2,76641,75710.1
85000,2,81383,80376.6
90000,2,86115,84772.5
95000,2,90854,89121
100000,2,95590,93640.1
5000,3,4904,4945.69
10000,3,9734,9833.55
15000,3,14555,14692.2
20000,3,19353,19583.8
25000,3,24153,24387.8
30000,3,28946,28998.1
35000,3,33746,33894.5
40000,3,38550,39193.4
45000,3,43355,44427.2
50000,3,48117,48838.2
55000,3,52875,53395.8
60000,3,57650,57957.2
65000,3,62425,62444.7
70000,3,67150,66869.3
75000,3,71905,71321
80000,3,76643,75972.9
85000,3,81395,80646.6
90000,3,86130,85284.8
95000,3,90854,89820
100000,3,95609,94122.4
5000,4,4892,4871.48
10000,4,9716,9704.67
15000,4,14514,14485.1
20000,4,19333,19478.4
25000,4,24136,24396.7
30000,4,28925,29228.7
35000,4,33702,34069.6
40000,4,38484,38911.5
45000,4,43268,43631
50000,4,48047,47981.5
55000,4,52811,52298.2
60000,4,57591,56983.8
65000,4,62371,61387.9
70000,4,67141,65916.7
75000,4,71882,70518.1
80000,4,76624,74563
85000,4,81369,79553
90000,4,86136,83994.4
95000,4,90855,88329.4
100000,4,95588,92995
5000,5,4883,4893.03
10000,5,9723,9668.54
15000,5,14536,14475.4
20000,5,19340,19208.2
25000,5,24133,24071.9
30000,5,28930,28811.3
35000,5,33751,33705.6
40000,5,38512,38740.3
45000,5,43298,44385.5
50000,5,48081,48894.8
55000,5,52874,53422.5
60000,5,57630,57898.7
65000,5,62373,62315.3
70000,5,67144,67040.8
75000,5,71881,71536.8
80000,5,76630,76321
85000,5,81387,80319.3
90000,5,86144,84900.3
95000,5,90883,89266.1
100000,5,95644,93946.8
5000,6,4878,4872.82
10000,6,9706,9731.81
15000,6,14535,14499.6
20000,6,19354,19380.2
25000,6,24164,24202.8
30000,6,28947,29486.7
35000,6,33715,34425.4
40000,6,38522,39193.4
45000,6,43296,44251.4
50000,6,48080,48604.1
55000,6,52887,53120.6
60000,6,57641,57529.4
65000,6,62400,62036.4
70000,6,67162,66157.4
75000,6,71913,70746
80000,6,76692,75418.9
85000,6,81441,79672.7
